datum,injectie_kwh,zon_min,poa_kwh_m2,inj_per_zonuur,inj_per_poa
2024-11-01,0.179,1.16,0.5512,9.258620689655173,0.3247460087082728
2024-11-02,0.047,4.49,0.5111,0.6280623608017817,0.0919585208374095
2024-11-03,0.222,300.0,1.099,0.0444,0.20200181983621474
2024-11-04,0.205,379.94,1.2669,0.032373532663052054,0.16181229773462782
2024-11-05,0.165,300.0,1.0685,0.033,0.1544220870379036
2024-11-11,0.403,443.14,1.0846,0.05456514871146816,0.3715655541213351
2024-11-12,0.261,246.6,0.6697,0.06350364963503649,0.3897267433179036
2024-11-13,0.476,420.0,1.0848,0.06799999999999999,0.4387905604719764
2024-11-14,0.168,8.06,0.2341,1.250620347394541,0.7176420333190945
2024-11-15,0.137,224.83,0.6832,0.03656095716763777,0.20052693208430913
2024-11-17,0.101,301.44,0.8661,0.02010350318471338,0.11661470961782705
2024-11-18,0.196,342.52,0.9087,0.0343337615321733,0.2156927478815891
2024-11-20,0.331,387.26,0.9548,0.05128337550999329,0.3466694595726854
2024-11-22,0.209,368.61,0.8685,0.03401969561324977,0.24064478986758778
2024-11-24,0.03,333.74,0.6341,0.005393420027566369,0.04731114966093676
2024-11-26,0.199,438.68,0.5484,0.027218017689431932,0.362873814733771
2024-11-28,0.335,454.62,0.5937,0.044212749109146104,0.5642580427825501
2024-11-29,0.239,455.86,0.6029,0.03145702627999824,0.3964173163045281
2024-11-30,0.078,367.57,0.5754,0.012732268683516066,0.13555787278415016
2024-12-01,0.257,372.8,0.5685,0.04136266094420601,0.4520668425681618
2024-12-02,0.385,345.6,0.4104,0.06684027777777778,0.9381091617933723
2024-12-03,0.258,250.74,0.4499,0.06173725771715721,0.573460769059791
2024-12-04,0.16,145.86,0.2495,0.0658165364047717,0.6412825651302605
2024-12-06,0.216,424.01,0.5289,0.030565316855734534,0.4083947816222348
2024-12-07,0.0,360.0,0.4634,0.0,0.0
2024-12-08,0.0,27.41,0.2723,0.0,0.0
2024-12-11,0.194,81.83,0.3655,0.1422461200048882,0.53077975376197
2024-12-13,0.172,194.18,0.3658,0.053146565042743836,0.470202296336796
2024-12-14,0.002,8.8,0.2728,0.013636363636363637,0.007331378299120235
2024-12-15,0.0,120.0,0.2501,0.0,0.0
2024-12-16,0.195,97.68,0.3389,0.11977886977886977,0.5753909707878431
2024-12-17,0.178,89.24,0.3592,0.11967727476467953,0.49554565701559017
2024-12-18,0.289,60.0,0.2011,0.289,1.4370959721531575
2024-12-19,0.322,17.77,0.101,1.0872256612267868,3.188118811881188
2024-12-20,0.248,352.63,0.429,0.04219720386807702,0.578088578088578
2024-12-22,0.018,340.23,0.3739,0.0031743232519178197,0.04814121422840331
2024-12-23,0.296,292.94,0.3274,0.06062674950501809,0.9040928527794745
2024-12-26,0.344,195.91,0.3743,0.10535449951508345,0.919048891263692
2024-12-27,0.324,326.62,0.4129,0.05951870675402608,0.7846936304189877
2024-12-28,0.014,377.68,0.4658,0.002224105062486761,0.030055817947617004
2024-12-31,0.154,166.28,0.2922,0.05556891989415444,0.5270362765229295
2025-01-02,0.277,447.11,0.4222,0.03717206056675091,0.656087162482236
2025-01-03,0.177,378.48,0.6974,0.02805960684844641,0.25379982793232003
2025-01-04,0.265,28.85,0.4936,0.5511265164644714,0.536871961102107
2025-01-06,0.199,100.35,0.2169,0.11898355754857999,0.9174734900875979
2025-01-07,0.235,229.06,0.4845,0.06155592421199685,0.4850361197110423
2025-01-08,0.267,12.63,0.4125,1.2684085510688836,0.6472727272727273
2025-01-09,0.733,151.35,0.647,0.2905847373637265,1.132921174652241
2025-01-10,0.069,471.82,0.8657,0.00877453266076046,0.0797042855492665
2025-01-11,0.001,153.22,0.5706,0.00039159378671191754,0.0017525411847178409
2025-01-12,0.049,248.43,0.5436,0.011834319526627219,0.09013980868285505
2025-01-13,0.29,476.21,0.8752,0.03653850192142122,0.3313528336380256
2025-01-14,0.066,431.13,0.6877,0.009185164567531835,0.09597208084920751
2025-01-15,0.245,10.61,0.3165,1.3854853911404337,0.7740916271721958
2025-01-16,0.197,68.58,0.4822,0.17235345581802275,0.40854417254251346
2025-01-17,0.214,37.35,0.4896,0.3437751004016064,0.43709150326797386
2025-01-18,0.0,97.84,0.4616,0.0,0.0
2025-01-19,0.03,5.38,0.4714,0.3345724907063197,0.06364022061943148
2025-01-21,0.219,63.94,0.45,0.20550516108852052,0.48666666666666664
2025-01-23,0.306,62.04,0.6291,0.29593810444874274,0.4864091559370529
2025-01-25,0.0,33.08,0.39,0.0,0.0
2025-01-26,0.102,279.56,0.7656,0.0218915438546287,0.13322884012539185
2025-01-27,0.432,480.24,0.8845,0.053973013493253376,0.4884115319389486
2025-01-28,0.296,15.69,0.4009,1.1319311663479923,0.7383387378398604
2025-01-29,0.196,372.6,0.7905,0.031561996779388084,0.24794433902593296
2025-01-30,0.213,61.65,0.1631,0.20729927007299268,1.3059472716125076
2025-01-31,0.224,161.5,0.8197,0.08321981424148607,0.27327070879590093
2025-02-01,0.195,518.03,1.1165,0.02258556454259406,0.17465293327362294
2025-02-02,0.034,529.54,1.1374,0.003852400196396873,0.02989273782310533
2025-02-03,0.252,521.11,1.117,0.02901498723877876,0.22560429722470904
2025-02-04,0.458,413.58,0.949,0.06644421877266793,0.4826132771338251
2025-02-05,0.0,292.45,1.0133,0.0,0.0
2025-02-06,0.268,313.06,0.9643,0.051363955791222125,0.277921808565799
2025-02-07,0.316,6.26,0.5274,3.0287539936102235,0.5991657186196435
2025-02-08,0.053,430.63,1.6464,0.007384529642616632,0.032191448007774535
2025-02-10,0.543,19.37,0.5438,1.6819824470831182,0.9985288709084224
2025-02-12,0.208,77.19,0.6216,0.16167897396035755,0.3346203346203346
2025-02-14,0.237,300.26,1.0601,0.04735895557183774,0.223563814734459
2025-02-15,0.267,391.4,1.4701,0.040929994890137975,0.18162029793891574
2025-02-16,0.211,383.55,1.446,0.03300743058271412,0.1459197786998617
2025-02-17,0.856,597.27,2.0779,0.085991260234065,0.4119543770152558
2025-02-18,0.19,599.05,2.0452,0.019030131040814625,0.0929004498337571
2025-02-19,0.527,421.65,1.9416,0.07499110636784063,0.27142562834775447
2025-02-20,0.341,56.96,0.7935,0.3591994382022472,0.4297416509136736
2025-02-21,0.286,475.53,1.839,0.03608605135322693,0.15551930396954866
2025-02-22,0.04,72.0,0.8502,0.03333333333333333,0.04704775346977182
2025-02-23,0.693,600.0,2.1258,0.0693,0.3259949195596952
2025-02-24,0.21,53.96,0.5119,0.2335063009636768,0.41023637429185383
2025-02-25,0.271,95.99,1.0987,0.16939264506719454,0.24665513789023394
2025-02-26,0.4,420.0,1.8582,0.05714285714285715,0.2152620815843289
2025-02-27,0.395,491.72,1.3441,0.04819816155535671,0.29387694367978573
2025-02-28,0.432,497.55,1.3361,0.052095266807356044,0.3233290921338223
2025-03-01,0.108,40.78,1.0605,0.15890142226581658,0.10183875530410184
2025-03-02,0.15,600.0,2.5001,0.015,0.059997600095996154
2025-03-03,0.178,616.3,2.5417,0.017329222781113093,0.07003186843451233
2025-03-04,0.407,601.86,2.5338,0.04057421991825341,0.16062830531217934
2025-03-05,0.434,637.05,2.6218,0.040875912408759124,0.1655351285376459
2025-03-06,0.36,635.02,2.6112,0.034014676703095964,0.1378676470588235
2025-03-07,0.154,635.17,2.5801,0.01454728655320623,0.05968760900740282
2025-03-08,0.194,618.62,2.6786,0.018816074488377355,0.07242589412379602
2025-03-09,0.041,653.62,3.3856,0.003763654722927695,0.012110113421550094
2025-03-10,0.09,647.38,3.3509,0.008341314220396058,0.026858455937210896
2025-03-11,0.229,24.41,0.9105,0.5628840639082343,0.2515101592531576
2025-03-12,0.448,577.52,2.4312,0.046543842637484414,0.18427114182296808
2025-03-13,0.247,654.01,2.8683,0.02266020397241632,0.0861137259003591
2025-03-14,0.29,454.23,2.2137,0.03830658476983026,0.13100239418168677
2025-03-15,0.389,458.09,2.0851,0.050950686546311866,0.18656179559733346
2025-03-16,0.398,698.95,3.6471,0.034165534015308675,0.10912780016999808
2025-03-17,0.389,500.98,2.2379,0.04658868617509681,0.17382367398007062
2025-03-18,0.309,707.36,3.9511,0.02621013345396969,0.07820606919592013
2025-03-19,0.493,709.02,3.855,0.04171955657104172,0.1278858625162127
2025-03-20,0.361,710.67,3.8173,0.030478281058719237,0.09456946008959212
2025-03-21,0.374,600.0,3.7743,0.0374,0.09909122221339056
2025-03-22,0.529,442.6,2.7079,0.07171260732037958,0.19535433361645557
2025-03-23,0.533,615.91,2.824,0.051923170593106145,0.18873937677053826
2025-03-24,0.596,717.26,3.2488,0.049856397958899144,0.18345235163752768
2025-03-25,0.387,536.28,2.885,0.04329827701946745,0.1341421143847487
2025-03-26,0.146,551.64,2.385,0.01587992168805743,0.061215932914046124
2025-03-27,0.359,720.0,4.2844,0.029916666666666664,0.08379236299131734
2025-03-28,0.368,444.34,2.916,0.0496916775442229,0.1262002743484225
2025-03-29,0.609,720.0,3.28,0.050749999999999997,0.18567073170731707
2025-03-30,0.33,546.42,2.6344,0.0362358625233337,0.1252657151533556
2025-03-31,0.688,727.25,3.9922,0.05676177380543142,0.1723360553078503
2025-04-01,0.32,738.34,4.1149,0.026004279871062113,0.07776616685703178
2025-04-02,0.679,725.07,3.9525,0.05618767843104804,0.17179000632511068
2025-04-03,0.536,742.3,4.4594,0.043324801293277655,0.1201955420011661
2025-04-04,0.343,763.07,4.5779,0.026970002752041096,0.07492518403634855
2025-04-05,0.423,765.29,4.6165,0.033163898652798285,0.09162785660132133
2025-04-06,0.163,767.51,4.7764,0.012742504983648423,0.03412612009044469
2025-04-07,0.471,769.71,4.7351,0.03671512647620532,0.09946991615805367
2025-04-08,0.28,771.91,4.733,0.021764195307743137,0.05915909571096557
2025-04-09,0.569,720.0,4.7428,0.04741666666666666,0.11997132495572235
2025-04-10,0.466,532.71,3.5613,0.052486343413864954,0.13085109370173814
2025-04-11,0.372,778.44,4.8651,0.028672730075535686,0.07646297095640377
2025-04-12,0.394,780.0,4.9345,0.03030769230769231,0.07984598236903435
2025-04-13,0.164,379.26,2.6654,0.0259452618256605,0.06152922638253171
2025-04-14,0.546,674.38,3.8206,0.048577953082831644,0.14290949065591793
2025-04-15,0.331,678.81,3.8772,0.029257082246873206,0.0853708862065408
2025-04-17,0.174,71.38,1.7227,0.14625945643037264,0.10100423753410344
2025-04-18,1.017,664.39,5.6966,0.09184364605126506,0.17852754274479513
2025-04-19,0.414,662.07,5.5667,0.037518691377044715,0.07437081215082544
2025-04-20,0.243,607.09,4.0039,0.024016208469913848,0.06069082644421689
2025-04-21,0.447,462.74,3.8665,0.057959113108873236,0.1156084313979051
2025-04-22,0.398,732.69,4.5821,0.03259222863694059,0.08685973680190306
2025-04-23,0.118,282.02,3.1883,0.02510460251046025,0.03701031897876611
2025-04-24,0.093,91.43,1.4543,0.06103029640161872,0.06394829127415251
2025-04-25,0.709,706.79,4.7104,0.06018760876639455,0.1505180027173913
2025-04-26,0.554,830.7,5.4222,0.040014445648248465,0.10217254988749955
2025-04-27,0.37,826.15,6.1381,0.026871633480602796,0.06027923950408107
2025-04-28,1.202,837.04,6.3256,0.08616075695307272,0.1900214999367649
2025-04-29,0.27,844.25,6.4315,0.019188628960615933,0.04198087537899402
2025-04-30,1.257,851.51,6.3439,0.08857206609435003,0.19814309809423225
2025-05-01,2.229,809.88,6.1576,0.1651355756408357,0.361991685072106
2025-05-02,0.361,859.37,6.1977,0.025204510280787087,0.05824741436339287
2025-05-03,0.202,575.93,3.0861,0.02104422412445957,0.06545478111532355
2025-05-04,0.627,780.07,4.1915,0.04822644121681387,0.14958845282118574
2025-05-05,0.636,586.35,3.8361,0.06508058326937835,0.16579338390552906
2025-05-06,2.699,625.42,4.8288,0.2589299990406447,0.5589380384360503
2025-05-07,0.852,190.74,3.1866,0.2680088078011953,0.26736961024289213
2025-05-08,2.132,830.62,5.846,0.15400544171823458,0.36469380773178245
2025-05-09,0.555,891.84,6.4011,0.03733853606027987,0.08670384777616348
2025-05-10,4.404,893.41,6.6925,0.2957656619021502,0.6580500560328726
2025-05-11,0.471,894.95,6.2774,0.03157718308285379,0.07503106381622965
2025-05-12,0.328,895.33,5.9416,0.021980722191817542,0.05520398545846237
2025-05-13,5.035,897.96,6.5234,0.33642923960978216,0.7718367722353374
2025-05-14,0.626,899.43,6.3939,0.04175978119475668,0.09790581648133377
2025-05-15,0.67,426.92,3.4186,0.09416284081326712,0.19598666120634178
2025-05-16,0.531,881.62,6.7535,0.03613801864748985,0.07862589768268306
2025-05-17,0.366,721.63,4.6438,0.030431107354184278,0.07881476377104958
2025-05-18,0.265,216.53,3.1027,0.07343093335796426,0.08540948206400877
2025-05-19,2.986,900.0,5.8231,0.19906666666666667,0.5127852861877694
2025-05-20,4.5,868.0,5.547,0.31105990783410137,0.8112493239588967
2025-05-21,3.777,540.6,4.664,0.4192008879023308,0.8098198970840481
2025-05-22,0.625,525.03,3.8876,0.0714244900291412,0.16076756867990535
2025-05-23,1.054,868.81,4.2868,0.0727892174353426,0.24587104600167956
2025-05-25,1.079,547.58,4.91,0.11822929982833558,0.21975560081466394
2025-05-26,3.361,819.04,4.5782,0.24621508107052162,0.7341313179852345
2025-05-27,0.197,76.38,1.8911,0.15475255302435195,0.10417217492464703
2025-05-28,0.697,663.45,6.2039,0.0630341397241691,0.11234868389239026
2025-05-29,0.265,105.14,2.4816,0.15122693551455205,0.10678594455190202
2025-05-30,0.564,850.13,6.3888,0.03980567677884558,0.08827948910593537
2025-05-31,0.437,551.98,5.3963,0.047501721076850606,0.08098141319051942
2025-06-01,0.389,477.58,4.1309,0.04887139327442523,0.09416834103948293
2025-06-02,0.552,915.72,5.8603,0.03616826104049273,0.09419313004453699
2025-06-03,0.624,855.41,6.0912,0.04376848528775675,0.10244286840031522
2025-06-04,2.95,434.9,3.7055,0.40699011266957924,0.7961138847658886
2025-06-05,0.958,270.41,3.3785,0.21256610332458117,0.2835577919194909
2025-06-06,1.116,811.76,5.8162,0.08248743470976644,0.191877858395516
2025-06-07,0.622,568.02,4.9475,0.0657019119045104,0.1257200606366852
2025-06-08,1.207,903.83,6.3722,0.08012568735271014,0.18941652804368977
2025-06-09,0.717,725.73,4.6617,0.059278243975032036,0.15380655125812473
2025-06-10,0.769,361.6,3.3746,0.12759955752212387,0.22787885971670716
2025-06-11,0.794,942.27,7.8444,0.050558757044159325,0.10121870378869002
2025-06-12,1.381,927.12,7.6426,0.08937354387781517,0.18069766833276635
2025-06-13,1.436,838.91,6.293,0.10270470014661882,0.22819005243921817
2025-06-14,0.493,792.02,5.3697,0.03734754172874422,0.0918114606030132
2025-06-15,0.919,774.97,6.2956,0.07115114133450327,0.14597496664336998
2025-06-16,1.064,918.81,6.5809,0.06948117673947825,0.1616800133720312
2025-06-17,1.128,819.09,5.983,0.08262828260630699,0.18853418017716864
2025-06-18,1.328,940.9,6.6128,0.08468487618237858,0.2008226469876603
2025-06-19,2.947,948.24,6.8298,0.18647177929638067,0.431491405312015
2025-06-20,0.991,838.47,7.3879,0.07091488067551611,0.13413825308951122
2025-06-21,1.441,953.59,7.8415,0.09066789710462568,0.18376586112350954
2025-06-22,0.865,802.03,5.7906,0.06471079635425109,0.14938002970331224
2025-06-23,2.156,510.85,5.5282,0.2532250171283156,0.3900003617814117
2025-06-24,1.14,452.83,3.212,0.1510500629375262,0.3549190535491905
2025-06-25,7.207,904.91,6.226,0.47785967665292683,1.1575650497911982
2025-06-26,2.808,635.97,5.1217,0.26491815651681677,0.548255462053615
2025-06-27,1.866,474.93,3.9817,0.23574000379003224,0.46864404651279606
2025-06-28,1.424,650.48,4.1808,0.13134915754519738,0.34060466896287794
2025-06-29,15.72,889.32,5.7716,1.0605856159762515,2.723681474807679
2025-06-30,0.895,953.31,7.4762,0.056330050036189704,0.11971322329525695
2025-07-01,0.999,947.62,7.2296,0.06325320276060024,0.13818191877835564
2025-07-02,0.0,783.29,6.9419,0.0,0.0
2025-07-03,1.207,952.34,7.6584,0.07604426990360585,0.15760472161286954
2025-07-04,6.369,928.76,6.6059,0.4114518282441104,0.9641381189542682
2025-07-05,1.551,725.86,5.6692,0.1282065412062932,0.273583574402032
2025-07-06,0.117,19.6,1.7072,0.3581632653061224,0.06853327085285849
2025-07-07,0.949,606.1,5.5806,0.09394489358191717,0.1700533992760635
2025-07-08,0.9,865.81,5.8624,0.062369342003441866,0.1535207423580786
2025-07-09,1.215,936.26,6.2869,0.07786298677717729,0.19325899887066758
2025-07-10,1.24,934.18,6.7104,0.0796420390074718,0.18478779208392943
2025-07-11,1.253,927.16,6.447,0.08108632814185254,0.19435396308360475
2025-07-12,1.054,934.69,6.9412,0.0676587959644374,0.15184694289171902
2025-07-13,0.855,773.28,7.3262,0.06634078212290502,0.11670443067347329
